dist,prostitution,total,vtheft
SOUTHERN,18.0,25692.0,1426.0
MISSION,713.0,21163.0,2063.0
NORTHERN,581.0,18975.0,1879.0
BAYVIEW,11.0,15739.0,2121.0
CENTRAL,70.0,13622.0,1193.0
TENDERLOIN,527.0,12737.0,371.0
INGLESIDE,5.0,14008.0,2319.0
TARAVAL,10.0,11329.0,1665.0
PARK,2.0,8219.0,1207.0
RICHMOND,15.0,7692.0,1081.0
